Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn)
Landvik;SN38140;13.11.2006;0,2
Landvik;SN38140;14.11.2006;7,4
Landvik;SN38140;15.11.2006;1,4
Landvik;SN38140;16.11.2006;11,9
Landvik;SN38140;17.11.2006;23,2
Landvik;SN38140;18.11.2006;0,4
Landvik;SN38140;19.11.2006;4,2
Landvik;SN38140;20.11.2006;6
Landvik;SN38140;21.11.2006;8
Landvik;SN38140;22.11.2006;5,5
Landvik;SN38140;23.11.2006;23
Landvik;SN38140;24.11.2006;23,2
Landvik;SN38140;25.11.2006;0,7
Landvik;SN38140;26.11.2006;29
Landvik;SN38140;27.11.2006;5,7
Landvik;SN38140;28.11.2006;4,8
Landvik;SN38140;29.11.2006;3,8
Landvik;SN38140;30.11.2006;0
Landvik;SN38140;01.12.2006;0
Landvik;SN38140;02.12.2006;14,2
Landvik;SN38140;03.12.2006;0,8
Landvik;SN38140;04.12.2006;14,5
Landvik;SN38140;05.12.2006;2,2
Landvik;SN38140;06.12.2006;16,2
Landvik;SN38140;07.12.2006;1
Landvik;SN38140;08.12.2006;29,2
Landvik;SN38140;09.12.2006;13,2
Landvik;SN38140;10.12.2006;0,1
Landvik;SN38140;11.12.2006;24,7
Landvik;SN38140;12.12.2006;0
Landvik;SN38140;13.12.2006;3,4
Landvik;SN38140;14.12.2006;2,9
Landvik;SN38140;15.12.2006;0
Landvik;SN38140;16.12.2006;0
Landvik;SN38140;17.12.2006;0
Landvik;SN38140;18.12.2006;0
Landvik;SN38140;19.12.2006;0
Landvik;SN38140;20.12.2006;0
Landvik;SN38140;21.12.2006;0
Landvik;SN38140;22.12.2006;0
Landvik;SN38140;23.12.2006;0
Landvik;SN38140;24.12.2006;0
Landvik;SN38140;25.12.2006;0
Landvik;SN38140;26.12.2006;0
Landvik;SN38140;27.12.2006;0
Landvik;SN38140;28.12.2006;0
Landvik;SN38140;29.12.2006;0
Landvik;SN38140;30.12.2006;22
Landvik;SN38140;31.12.2006;32,3
Landvik;SN38140;01.01.2007;12,6
Landvik;SN38140;02.01.2007;0,1
Landvik;SN38140;03.01.2007;0
Landvik;SN38140;04.01.2007;4,7
Landvik;SN38140;05.01.2007;0,5
Landvik;SN38140;06.01.2007;0,5
Landvik;SN38140;07.01.2007;0,1
Landvik;SN38140;08.01.2007;15,5
Landvik;SN38140;09.01.2007;12,2
Landvik;SN38140;10.01.2007;3,4
Landvik;SN38140;11.01.2007;5,3
Landvik;SN38140;12.01.2007;15,1
Landvik;SN38140;13.01.2007;3,3
Landvik;SN38140;14.01.2007;16,1
Landvik;SN38140;15.01.2007;1,5
Landvik;SN38140;16.01.2007;1
Landvik;SN38140;17.01.2007;0
Landvik;SN38140;18.01.2007;13,9
Landvik;SN38140;19.01.2007;0
Landvik;SN38140;20.01.2007;5,1
Landvik;SN38140;21.01.2007;19,5
Landvik;SN38140;22.01.2007;1,5
Landvik;SN38140;23.01.2007;0
Landvik;SN38140;24.01.2007;0
Landvik;SN38140;25.01.2007;0
Landvik;SN38140;26.01.2007;0
Landvik;SN38140;27.01.2007;0
Landvik;SN38140;28.01.2007;0
Landvik;SN38140;29.01.2007;0
Landvik;SN38140;30.01.2007;0
Landvik;SN38140;31.01.2007;0
Landvik;SN38140;01.02.2007;0,1
Landvik;SN38140;02.02.2007;0,1
Landvik;SN38140;03.02.2007;0
Landvik;SN38140;04.02.2007;0
Landvik;SN38140;05.02.2007;0,1
Landvik;SN38140;06.02.2007;0,1
Landvik;SN38140;07.02.2007;16,1
Landvik;SN38140;08.02.2007;0,6
Landvik;SN38140;09.02.2007;11
Landvik;SN38140;10.02.2007;0,7
Landvik;SN38140;11.02.2007;0
Landvik;SN38140;12.02.2007;1,1
Landvik;SN38140;13.02.2007;0,4
Landvik;SN38140;14.02.2007;0
Landvik;SN38140;15.02.2007;12
Landvik;SN38140;16.02.2007;10,9
Landvik;SN38140;17.02.2007;0
Landvik;SN38140;18.02.2007;0
Landvik;SN38140;19.02.2007;0
Landvik;SN38140;20.02.2007;0
Landvik;SN38140;21.02.2007;22,3
Landvik;SN38140;22.02.2007;25,1
Landvik;SN38140;23.02.2007;14,4
Landvik;SN38140;24.02.2007;39,6
Landvik;SN38140;25.02.2007;20,9
Landvik;SN38140;26.02.2007;10,1
Landvik;SN38140;27.02.2007;15,1
Landvik;SN38140;28.02.2007;4,7
Landvik;SN38140;01.03.2007;8
Landvik;SN38140;02.03.2007;2,2
Landvik;SN38140;03.03.2007;0
Landvik;SN38140;04.03.2007;0,9
Landvik;SN38140;05.03.2007;1
Landvik;SN38140;06.03.2007;2,7
Landvik;SN38140;07.03.2007;24,5
Landvik;SN38140;08.03.2007;2,3
Landvik;SN38140;09.03.2007;0
Landvik;SN38140;10.03.2007;1,2
Landvik;SN38140;11.03.2007;0,4
Landvik;SN38140;12.03.2007;0
Landvik;SN38140;13.03.2007;0
Landvik;SN38140;14.03.2007;0
Landvik;SN38140;15.03.2007;0
Landvik;SN38140;16.03.2007;0
Landvik;SN38140;17.03.2007;1,8
Landvik;SN38140;18.03.2007;5,8
Landvik;SN38140;19.03.2007;3,2
Landvik;SN38140;20.03.2007;0
Landvik;SN38140;21.03.2007;0
Landvik;SN38140;22.03.2007;0
Landvik;SN38140;23.03.2007;1,3
Landvik;SN38140;24.03.2007;2,4
Landvik;SN38140;25.03.2007;0
Landvik;SN38140;26.03.2007;0
Landvik;SN38140;27.03.2007;0
Landvik;SN38140;28.03.2007;0
Landvik;SN38140;29.03.2007;0
Landvik;SN38140;30.03.2007;0
Landvik;SN38140;31.03.2007;0
Landvik;SN38140;01.04.2007;0
Landvik;SN38140;02.04.2007;0
Landvik;SN38140;03.04.2007;0
Landvik;SN38140;04.04.2007;0
Landvik;SN38140;05.04.2007;0
Landvik;SN38140;06.04.2007;0
Landvik;SN38140;07.04.2007;0
Landvik;SN38140;08.04.2007;0
Landvik;SN38140;09.04.2007;3
Landvik;SN38140;10.04.2007;0,4
Landvik;SN38140;11.04.2007;0
Landvik;SN38140;12.04.2007;0
Landvik;SN38140;13.04.2007;0
Landvik;SN38140;14.04.2007;0
Landvik;SN38140;15.04.2007;0
Landvik;SN38140;16.04.2007;0
Landvik;SN38140;17.04.2007;0
Landvik;SN38140;18.04.2007;0
Landvik;SN38140;19.04.2007;0
Landvik;SN38140;20.04.2007;0
Landvik;SN38140;21.04.2007;0
Landvik;SN38140;22.04.2007;6,4
Landvik;SN38140;23.04.2007;1,3
Landvik;SN38140;24.04.2007;0
Landvik;SN38140;25.04.2007;8,7
Landvik;SN38140;26.04.2007;1,8
Landvik;SN38140;27.04.2007;0
Landvik;SN38140;28.04.2007;0
Landvik;SN38140;29.04.2007;0
Landvik;SN38140;30.04.2007;0
Landvik;SN38140;01.05.2007;0
Landvik;SN38140;02.05.2007;0
Landvik;SN38140;03.05.2007;0
Landvik;SN38140;04.05.2007;0
Landvik;SN38140;05.05.2007;0
Landvik;SN38140;06.05.2007;0
Landvik;SN38140;07.05.2007;8,1
Landvik;SN38140;08.05.2007;5,2
Landvik;SN38140;09.05.2007;0
Landvik;SN38140;10.05.2007;0,1
Landvik;SN38140;11.05.2007;4,7
Landvik;SN38140;12.05.2007;0
Landvik;SN38140;13.05.2007;6,4
Landvik;SN38140;14.05.2007;16,3
Landvik;SN38140;15.05.2007;12,9
Landvik;SN38140;16.05.2007;0
Landvik;SN38140;17.05.2007;0
Landvik;SN38140;18.05.2007;0
Landvik;SN38140;19.05.2007;19,2
Landvik;SN38140;20.05.2007;0
Landvik;SN38140;21.05.2007;0
Landvik;SN38140;22.05.2007;0
Landvik;SN38140;23.05.2007;0
Landvik;SN38140;24.05.2007;0
Landvik;SN38140;25.05.2007;0,3
Landvik;SN38140;26.05.2007;0,5
Landvik;SN38140;27.05.2007;0
Landvik;SN38140;28.05.2007;14,7
Landvik;SN38140;29.05.2007;4,4
Landvik;SN38140;30.05.2007;1,7
Landvik;SN38140;31.05.2007;12,4
Landvik;SN38140;01.06.2007;0,4
Landvik;SN38140;02.06.2007;1,2
Landvik;SN38140;03.06.2007;0
Landvik;SN38140;04.06.2007;0
Landvik;SN38140;05.06.2007;0
Landvik;SN38140;06.06.2007;0
Landvik;SN38140;07.06.2007;0
Landvik;SN38140;08.06.2007;0
