Navn;Stasjon;Tid(norsk normaltid);Midlere lufttrykk i havnivå (døgn);Høyeste lufttrykk i havnivå (døgn);Laveste lufttrykk i havnivå (døgn);Svakeste middelvind fra hovedobs. (døgn);Kraftigste middelvind fra hovedobs. (døgn)
Torungen Fyr;SN36200;30.03.1961;998,6;999,5;997,5;6,7;7,2
Torungen Fyr;SN36200;31.03.1961;1002,4;1004;1001,5;3,1;7,2
Torungen Fyr;SN36200;01.04.1961;1003,1;1005;1001,2;5,1;8,7
Torungen Fyr;SN36200;02.04.1961;1007;1008,4;1005;4,6;9,3
Torungen Fyr;SN36200;03.04.1961;1000,1;1001,4;998,7;4,1;7,7
Torungen Fyr;SN36200;04.04.1961;1005,1;1007,8;1001,7;3,6;7,2
Torungen Fyr;SN36200;05.04.1961;1002,5;1007,2;997,4;10,3;16,5
Torungen Fyr;SN36200;06.04.1961;1001,9;1003,3;999,3;4,1;6,2
Torungen Fyr;SN36200;07.04.1961;1007,9;1010,9;1004,3;3,6;6,2
Torungen Fyr;SN36200;08.04.1961;1014,6;1015,4;1014,1;4,1;11,3
Torungen Fyr;SN36200;09.04.1961;1022;1022,8;1020,9;3,1;8,2
Torungen Fyr;SN36200;10.04.1961;1016,8;1019;1014,1;3,1;6,7
Torungen Fyr;SN36200;11.04.1961;1015,2;1016,2;1014;4,1;6,2
Torungen Fyr;SN36200;12.04.1961;1009,7;1012,7;1007,1;2,6;8,2
Torungen Fyr;SN36200;13.04.1961;1004,3;1004,6;1004,1;2,1;9,3
Torungen Fyr;SN36200;14.04.1961;1005,9;1006,3;1005,5;2,1;6,2
Torungen Fyr;SN36200;15.04.1961;1010,6;1012,6;1008,3;6,2;10,3
Torungen Fyr;SN36200;16.04.1961;1017,1;1017,9;1016,4;3,6;6,2
Torungen Fyr;SN36200;17.04.1961;1013,6;1015;1011,8;3,1;13,4
Torungen Fyr;SN36200;18.04.1961;1014,8;1015,1;1014,6;5,1;6,7
Torungen Fyr;SN36200;19.04.1961;1021,9;1023;1020,6;4,1;8,7
Torungen Fyr;SN36200;20.04.1961;1023,9;1024,9;1022,7;7,7;8,7
Torungen Fyr;SN36200;21.04.1961;1019,6;1021,6;1016,7;6,7;8,2
Torungen Fyr;SN36200;22.04.1961;1010,4;1012,4;1007,8;8,7;11,3
Torungen Fyr;SN36200;23.04.1961;1005,9;1006,3;1005,4;10,3;12,9
Torungen Fyr;SN36200;24.04.1961;1012,3;1013,3;1010,8;10,8;12,3
Torungen Fyr;SN36200;25.04.1961;1015;1015,3;1014,5;5,7;8,2
Torungen Fyr;SN36200;26.04.1961;1015,7;1016,7;1013,9;6,2;9,8
Torungen Fyr;SN36200;27.04.1961;1014,5;1015,1;1013,8;7,2;10,8
Torungen Fyr;SN36200;28.04.1961;1016,4;1017,7;1014,2;10,3;13,4
Torungen Fyr;SN36200;29.04.1961;1019,3;1020,4;1017,5;4,6;6,7
Torungen Fyr;SN36200;30.04.1961;1015,7;1016,1;1015,5;0,5;5,1
Torungen Fyr;SN36200;01.05.1961;1016,7;1017,7;1015,8;5,1;6,7
Torungen Fyr;SN36200;02.05.1961;1011,8;1014,3;1008,5;7,2;8,7
Torungen Fyr;SN36200;03.05.1961;1005,4;1006,4;1004,3;5,1;6,2
Torungen Fyr;SN36200;04.05.1961;1011,5;1012,5;1010,1;1;5,1
Torungen Fyr;SN36200;05.05.1961;1002,3;1007,4;998,9;7,2;9,3
Torungen Fyr;SN36200;06.05.1961;1003,1;1005,3;1000,4;9,8;12,3
Torungen Fyr;SN36200;07.05.1961;1001,5;1001,9;1000,9;7,2;8,2
Torungen Fyr;SN36200;08.05.1961;999,5;1000,7;998,7;6,2;13,4
Torungen Fyr;SN36200;09.05.1961;1006,7;1008,3;1005;1,5;8,7
Torungen Fyr;SN36200;10.05.1961;1019,1;1019,9;1017,7;5,7;8,2
Torungen Fyr;SN36200;11.05.1961;1024,2;1026,1;1020,9;5,7;8,2
Torungen Fyr;SN36200;12.05.1961;1016,4;1020,4;1012;3,1;8,2
Torungen Fyr;SN36200;13.05.1961;1008,4;1008,6;1008;4,1;10,8
Torungen Fyr;SN36200;14.05.1961;1013,7;1014,5;1012,7;5,1;9,3
Torungen Fyr;SN36200;15.05.1961;1021,1;1021,7;1019,8;4,6;8,2
Torungen Fyr;SN36200;16.05.1961;1024,2;1024,7;1023,7;0;4,6
Torungen Fyr;SN36200;17.05.1961;1023;1024,6;1020,7;4,1;8,2
Torungen Fyr;SN36200;18.05.1961;1018,3;1019,5;1016;2,1;10,8
Torungen Fyr;SN36200;19.05.1961;1010,3;1011,1;1009,2;2,6;9,3
Torungen Fyr;SN36200;20.05.1961;1012,1;1012,4;1011,7;5,7;10,3
Torungen Fyr;SN36200;21.05.1961;1015,9;1016,9;1014,8;4,6;12,9
Torungen Fyr;SN36200;22.05.1961;1011,1;1012,8;1009,4;2,6;12,3
Torungen Fyr;SN36200;23.05.1961;1007;1007,7;1006,3;4,1;9,8
Torungen Fyr;SN36200;24.05.1961;1005,3;1006,1;1003,9;10,3;12,3
Torungen Fyr;SN36200;25.05.1961;1008,7;1008,9;1008,5;6,7;10,3
Torungen Fyr;SN36200;26.05.1961;1008,1;1008,3;1007,6;7,2;9,3
Torungen Fyr;SN36200;27.05.1961;1011,3;1012,1;1009,8;3,1;4,6
Torungen Fyr;SN36200;28.05.1961;1013,8;1014,7;1012,5;3,6;7,2
Torungen Fyr;SN36200;29.05.1961;1011,5;1012,1;1010,7;4,6;7,7
Torungen Fyr;SN36200;30.05.1961;1010;1012,1;1007,2;6,2;8,2
Torungen Fyr;SN36200;31.05.1961;1006,4;1006,9;1005,9;8,2;11,3
